5_Minutes,Lane_1_ Flow (Veh_5 Minutes),Lane_Points, Observed_percent
04/01/2016 00:00,12.00,1.00,100.00%
04/01/2016 00:05,13.00,1.00,100.00%
04/01/2016 00:10,11.00,1.00,100.00%
04/01/2016 00:15,13.00,1.00,100.00%
04/01/2016 00:20,10.00,1.00,100.00%
04/01/2016 00:25,10.00,1.00,100.00%
04/01/2016 00:30,13.00,1.00,100.00%
04/01/2016 00:35,11.00,1.00,100.00%
04/01/2016 00:40,10.00,1.00,100.00%
04/01/2016 00:45,6.00,1.00,100.00%
04/01/2016 00:50,7.00,1.00,100.00%
04/01/2016 00:55,8.00,1.00,100.00%
04/01/2016 01:00,8.00,1.00,100.00%
04/01/2016 01:05,12.00,1.00,100.00%
04/01/2016 01:10,7.00,1.00,100.00%
04/01/2016 01:15,5.00,1.00,100.00%
04/01/2016 01:20,2.00,1.00,100.00%
04/01/2016 01:25,6.00,1.00,100.00%
04/01/2016 01:30,4.00,1.00,100.00%
04/01/2016 01:35,3.00,1.00,100.00%
04/01/2016 01:40,5.00,1.00,100.00%
04/01/2016 01:45,6.00,1.00,100.00%
04/01/2016 01:50,5.00,1.00,100.00%
04/01/2016 01:55,6.00,1.00,100.00%
04/01/2016 02:00,6.00,1.00,100.00%
04/01/2016 02:05,7.00,1.00,100.00%
04/01/2016 02:10,7.00,1.00,100.00%
04/01/2016 02:15,3.00,1.00,100.00%
04/01/2016 02:20,8.00,1.00,100.00%
04/01/2016 02:25,5.00,1.00,100.00%
04/01/2016 02:30,6.00,1.00,100.00%
04/01/2016 02:35,4.00,1.00,100.00%
04/01/2016 02:40,5.00,1.00,100.00%
04/01/2016 02:45,7.00,1.00,100.00%
04/01/2016 02:50,2.00,1.00,100.00%
04/01/2016 02:55,9.00,1.00,100.00%
04/01/2016 03:00,10.00,1.00,100.00%
04/01/2016 03:05,7.00,1.00,100.00%
04/01/2016 03:10,4.00,1.00,100.00%
04/01/2016 03:15,6.00,1.00,100.00%
04/01/2016 03:20,6.00,1.00,100.00%
04/01/2016 03:25,4.00,1.00,100.00%
04/01/2016 03:30,6.00,1.00,100.00%
04/01/2016 03:35,15.00,1.00,100.00%
04/01/2016 03:40,8.00,1.00,100.00%
04/01/2016 03:45,9.00,1.00,100.00%
04/01/2016 03:50,17.00,1.00,100.00%
04/01/2016 03:55,16.00,1.00,100.00%
04/01/2016 04:00,11.00,1.00,100.00%
04/01/2016 04:05,15.00,1.00,100.00%
04/01/2016 04:10,19.00,1.00,100.00%
04/01/2016 04:15,15.00,1.00,100.00%
04/01/2016 04:20,20.00,1.00,100.00%
04/01/2016 04:25,26.00,1.00,100.00%
04/01/2016 04:30,24.00,1.00,100.00%
04/01/2016 04:35,27.00,1.00,100.00%
04/01/2016 04:40,40.00,1.00,100.00%
04/01/2016 04:45,50.00,1.00,100.00%
04/01/2016 04:50,52.00,1.00,100.00%
04/01/2016 04:55,51.00,1.00,100.00%
04/01/2016 05:00,47.00,1.00,100.00%
04/01/2016 05:05,51.00,1.00,100.00%
